"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Denmark","1996","Not applicable","Not applicable","Percent","7.88494"
"Denmark","1995","Not applicable","Not applicable","Percent","7.47103"
"Denmark","1994","Not applicable","Not applicable","Percent","7.47189"
"Denmark","1993","Not applicable","Not applicable","Percent","7.78547"
"Denmark","1991","Not applicable","Not applicable","Percent","5.60722"
"Denmark","1989","Not applicable","Not applicable","Percent","5.8654"
"Denmark","1988","Not applicable","Not applicable","Percent","6.3596"
"Denmark","1987","Not applicable","Not applicable","Percent","6.0928"
"Denmark","1986","Not applicable","Not applicable","Percent","5.85677"
"Denmark","1980","Not applicable","Not applicable","Percent","5.93262"
"Denmark","1979","Not applicable","Not applicable","Percent","5.59097"
"Denmark","1978","Not applicable","Not applicable","Percent","5.76126"
"Denmark","1977","Not applicable","Not applicable","Percent","5.68559"
"Denmark","1975","Not applicable","Not applicable","Percent","6.75038"
"Djibouti","2010","Not applicable","Not applicable","Percent","4.49022"
"Djibouti","2007","Not applicable","Not applicable","Percent","8.40625"
"Djibouti","2006","Not applicable","Not applicable","Percent","8.27878"
"Djibouti","2005","Not applicable","Not applicable","Percent","8.36589"
"Djibouti","2004","Not applicable","Not applicable","Percent","9.26467"
"Djibouti","2003","Not applicable","Not applicable","Percent","8.88985"
"Djibouti","2002","Not applicable","Not applicable","Percent","8.4476"
"Djibouti","2001","Not applicable","Not applicable","Percent","7.80543"
"Djibouti","2000","Not applicable","Not applicable","Percent","9.66"
"Djibouti","1999","Not applicable","Not applicable","Percent","7.62948"
"Dominica","1999","Not applicable","Not applicable","Percent","4.99184"
"Dominica","1998","Not applicable","Not applicable","Percent","7.16059"
"Dominica","1989","Not applicable","Not applicable","Percent","5.17833"
"Dominican Republic","2007","Not applicable","Not applicable","Percent","2.05124"
"Dominican Republic","2003","Not applicable","Not applicable","Percent","1.87636"
"Dominican Republic","2002","Not applicable","Not applicable","Percent","1.97101"
"Dominican Republic","2001","Not applicable","Not applicable","Percent","2.0237"
"Dominican Republic","2000","Not applicable","Not applicable","Percent","1.91261"
"Dominican Republic","1996","Not applicable","Not applicable","Percent","1.23468"
"Dominican Republic","1995","Not applicable","Not applicable","Percent","1.04848"
"Dominican Republic","1994","Not applicable","Not applicable","Percent","0.90279"
"Dominican Republic","1993","Not applicable","Not applicable","Percent","0.78019"
"Dominican Republic","1985","Not applicable","Not applicable","Percent","1.21019"
"Dominican Republic","1984","Not applicable","Not applicable","Percent","1.49779"
"Dominican Republic","1983","Not applicable","Not applicable","Percent","1.56546"
"Dominican Republic","1982","Not applicable","Not applicable","Percent","1.59754"
"Ecuador","2012","Not applicable","Not applicable","Percent","4.18002"
"Ecuador","2011","Not applicable","Not applicable","Percent","4.31455"
"Ecuador","2010","Not applicable","Not applicable","Percent","4.07574"
"Ecuador","2000","Not applicable","Not applicable","Percent","1.15093"
"Ecuador","1999","Not applicable","Not applicable","Percent","1.54734"
"Ecuador","1998","Not applicable","Not applicable","Percent","2.19537"
"Ecuador","1995","Not applicable","Not applicable","Percent","1.99764"
"Ecuador","1986","Not applicable","Not applicable","Percent","6.87238"
"Ecuador","1985","Not applicable","Not applicable","Percent","5.23335"
"Ecuador","1984","Not applicable","Not applicable","Percent","4.20342"
"Ecuador","1977","Not applicable","Not applicable","Percent","2.41884"
"Egypt","2008","Not applicable","Not applicable","Percent","3.76083"
"Egypt","2007","Not applicable","Not applicable","Percent","3.68461"
"Egypt","2006","Not applicable","Not applicable","Percent","4.00178"
"Egypt","2005","Not applicable","Not applicable","Percent","4.79443"
"Egypt","2004","Not applicable","Not applicable","Percent","4.67072"
"Egypt","2003","Not applicable","Not applicable","Percent","4.94563"
"Egypt","1996","Not applicable","Not applicable","Percent","4.67157"
"Egypt","1995","Not applicable","Not applicable","Percent","4.604"
"Egypt","1994","Not applicable","Not applicable","Percent","4.58376"
"Egypt","1993","Not applicable","Not applicable","Percent","4.1977"
"Egypt","1992","Not applicable","Not applicable","Percent","4.09639"
"Egypt","1989","Not applicable","Not applicable","Percent","4.59159"
"Egypt","1988","Not applicable","Not applicable","Percent","4.51937"
"Egypt","1983","Not applicable","Not applicable","Percent","5.64235"
"Egypt","1982","Not applicable","Not applicable","Percent","5.30415"
"Egypt","1980","Not applicable","Not applicable","Percent","4.2498"
"Egypt","1978","Not applicable","Not applicable","Percent","4.86171"
"Egypt","1977","Not applicable","Not applicable","Percent","4.53443"
"Egypt","1976","Not applicable","Not applicable","Percent","5.02737"
"Egypt","1975","Not applicable","Not applicable","Percent","5.00846"
"El Salvador","2011","Not applicable","Not applicable","Percent","3.41749"
"El Salvador","2010","Not applicable","Not applicable","Percent","3.48668"
"El Salvador","2009","Not applicable","Not applicable","Percent","3.96954"
"El Salvador","2008","Not applicable","Not applicable","Percent","3.74166"
"El Salvador","2007","Not applicable","Not applicable","Percent","3.05447"
"El Salvador","2006","Not applicable","Not applicable","Percent","3.01268"
"El Salvador","2005","Not applicable","Not applicable","Percent","2.73246"
"El Salvador","2003","Not applicable","Not applicable","Percent","2.75909"
"El Salvador","2002","Not applicable","Not applicable","Percent","2.87054"
"El Salvador","2000","Not applicable","Not applicable","Percent","2.54708"
"El Salvador","1999","Not applicable","Not applicable","Percent","2.31992"
"El Salvador","1998","Not applicable","Not applicable","Percent","2.31992"
"El Salvador","1975","Not applicable","Not applicable","Percent","0.90451"
"Equatorial Guinea","1998","Not applicable","Not applicable","Percent","2.18798"
"Eritrea","2006","Not applicable","Not applicable","Percent","2.127"
"Eritrea","2004","Not applicable","Not applicable","Percent","3.14897"
"Eritrea","2002","Not applicable","Not applicable","Percent","3.5239"
"Eritrea","2001","Not applicable","Not applicable","Percent","4.04716"
"Eritrea","1999","Not applicable","Not applicable","Percent","5.26281"
"Eritrea","1998","Not applicable","Not applicable","Percent","4.62058"
"Eritrea","1996","Not applicable","Not applicable","Percent","1.63855"
"Estonia","2012","Not applicable","Not applicable","Percent","4.79262"
"Estonia","2011","Not applicable","Not applicable","Percent","5.09808"
"Estonia","2010","Not applicable","Not applicable","Percent","5.5298"
"Estonia","2009","Not applicable","Not applicable","Percent","5.95738"
"Estonia","2008","Not applicable","Not applicable","Percent","5.5196"
"Estonia","2007","Not applicable","Not applicable","Percent","4.66549"
"Estonia","2005","Not applicable","Not applicable","Percent","4.84576"
"Estonia","2004","Not applicable","Not applicable","Percent","4.91245"
"Estonia","2003","Not applicable","Not applicable","Percent","5.30094"
"Estonia","2002","Not applicable","Not applicable","Percent","5.47872"
"Estonia","2001","Not applicable","Not applicable","Percent","5.24616"
"Estonia","2000","Not applicable","Not applicable","Percent","5.34045"
"Estonia","1999","Not applicable","Not applicable","Percent","6.70094"
"Estonia","1998","Not applicable","Not applicable","Percent","6.30887"
"Estonia","1997","Not applicable","Not applicable","Percent","6.4572"
"Estonia","1996","Not applicable","Not applicable","Percent","6.11469"
"Estonia","1995","Not applicable","Not applicable","Percent","6.08896"
"Ethiopia","2013","Not applicable","Not applicable","Percent","4.49855"
"Ethiopia","2010","Not applicable","Not applicable","Percent","4.49659"
"Ethiopia","2009","Not applicable","Not applicable","Percent","4.42207"
"Ethiopia","2008","Not applicable","Not applicable","Percent","5.4082"
"Ethiopia","2007","Not applicable","Not applicable","Percent","5.45113"
"Ethiopia","2006","Not applicable","Not applicable","Percent","5.49096"
"Ethiopia","2002","Not applicable","Not applicable","Percent","3.63245"
"Ethiopia","2001","Not applicable","Not applicable","Percent","3.70029"
"Ethiopia","2000","Not applicable","Not applicable","Percent","3.98311"
"Ethiopia","1997","Not applicable","Not applicable","Percent","2.75794"
"Ethiopia","1996","Not applicable","Not applicable","Percent","2.77462"
"Ethiopia","1993","Not applicable","Not applicable","Percent","2.35421"
"Ethiopia","1986","Not applicable","Not applicable","Percent","2.13795"
"Ethiopia","1985","Not applicable","Not applicable","Percent","2.33757"
"Ethiopia","1984","Not applicable","Not applicable","Percent","2.11203"
"Ethiopia","1983","Not applicable","Not applicable","Percent","2.30206"
"Ethiopia","1982","Not applicable","Not applicable","Percent","2.11235"
"Fiji","2013","Not applicable","Not applicable","Percent","4.22044"
"Fiji","2011","Not applicable","Not applicable","Percent","4.31967"
"Fiji","2009","Not applicable","Not applicable","Percent","4.49848"
"Fiji","2008","Not applicable","Not applicable","Percent","4.25357"
"Fiji","2007","Not applicable","Not applicable","Percent","5.84843"
"Fiji","2006","Not applicable","Not applicable","Percent","5.60714"
"Fiji","2005","Not applicable","Not applicable","Percent","5.12197"
"Fiji","2004","Not applicable","Not applicable","Percent","6.16493"
"Fiji","2002","Not applicable","Not applicable","Percent","6.24382"
"Fiji","2001","Not applicable","Not applicable","Percent","5.61714"
"Fiji","2000","Not applicable","Not applicable","Percent","5.85725"
"Fiji","1999","Not applicable","Not applicable","Percent","5.15351"
"Fiji","1998","Not applicable","Not applicable","Percent","5.51262"
"Fiji","1989","Not applicable","Not applicable","Percent","4.8311"
"Fiji","1983","Not applicable","Not applicable","Percent","6.48669"
"Fiji","1981","Not applicable","Not applicable","Percent","5.82011"
"Fiji","1979","Not applicable","Not applicable","Percent","5.19761"
"Finland","2012","Not applicable","Not applicable","Percent","7.19254"
"Finland","2011","Not applicable","Not applicable","Percent","6.48201"
"Finland","2010","Not applicable","Not applicable","Percent","6.54071"
"Finland","2009","Not applicable","Not applicable","Percent","6.48518"
"Finland","2008","Not applicable","Not applicable","Percent","5.84677"
"Finland","2007","Not applicable","Not applicable","Percent","5.68609"
"Finland","2006","Not applicable","Not applicable","Percent","5.9381"
"Finland","2005","Not applicable","Not applicable","Percent","6.03606"
"Finland","2004","Not applicable","Not applicable","Percent","6.1685"
"Finland","2003","Not applicable","Not applicable","Percent","6.17477"
"Finland","2002","Not applicable","Not applicable","Percent","6.02478"
"Finland","2001","Not applicable","Not applicable","Percent","5.84797"
"Finland","2000","Not applicable","Not applicable","Percent","5.71688"
"Finland","1999","Not applicable","Not applicable","Percent","5.86961"
"Finland","1996","Not applicable","Not applicable","Percent","6.86053"
"Finland","1995","Not applicable","Not applicable","Percent","6.80942"
"Finland","1994","Not applicable","Not applicable","Percent","6.85563"
"Finland","1993","Not applicable","Not applicable","Percent","7.48367"
"Finland","1992","Not applicable","Not applicable","Percent","6.51512"
"Finland","1991","Not applicable","Not applicable","Percent","6.33289"
"Finland","1990","Not applicable","Not applicable","Percent","5.33591"
"Finland","1989","Not applicable","Not applicable","Percent","5.07036"
"Finland","1988","Not applicable","Not applicable","Percent","5.06491"
"Finland","1987","Not applicable","Not applicable","Percent","5.19813"
"Finland","1986","Not applicable","Not applicable","Percent","5.09658"
"Finland","1985","Not applicable","Not applicable","Percent","5.04196"
"Finland","1984","Not applicable","Not applicable","Percent","4.69558"
"Finland","1983","Not applicable","Not applicable","Percent","4.85175"
"Finland","1982","Not applicable","Not applicable","Percent","4.77616"
"Finland","1981","Not applicable","Not applicable","Percent","4.82994"
"Finland","1980","Not applicable","Not applicable","Percent","4.82217"
"Finland","1979","Not applicable","Not applicable","Percent","4.79336"
"Finland","1976","Not applicable","Not applicable","Percent","5.22444"
"Finland","1975","Not applicable","Not applicable","Percent","5.02949"
"France","2012","Not applicable","Not applicable","Percent","5.53344"
"France","2011","Not applicable","Not applicable","Percent","5.51584"
"France","2010","Not applicable","Not applicable","Percent","5.68342"
"France","2009","Not applicable","Not applicable","Percent","5.73849"
"France","2008","Not applicable","Not applicable","Percent","5.44403"
"France","2007","Not applicable","Not applicable","Percent","5.44519"
"France","2006","Not applicable","Not applicable","Percent","5.44211"
"France","2005","Not applicable","Not applicable","Percent","5.49981"
"France","2004","Not applicable","Not applicable","Percent","5.63702"
"France","2003","Not applicable","Not applicable","Percent","5.72295"
"France","2002","Not applicable","Not applicable","Percent","5.40916"
"France","2001","Not applicable","Not applicable","Percent","5.41704"
"France","2000","Not applicable","Not applicable","Percent","5.51673"
"France","1999","Not applicable","Not applicable","Percent","5.64529"
"France","1998","Not applicable","Not applicable","Percent","5.65912"
"France","1996","Not applicable","Not applicable","Percent","5.72616"
"France","1995","Not applicable","Not applicable","Percent","5.75908"
"France","1994","Not applicable","Not applicable","Percent","5.5957"
"France","1993","Not applicable","Not applicable","Percent","5.39988"
"France","1992","Not applicable","Not applicable","Percent","4.71099"
"France","1991","Not applicable","Not applicable","Percent","4.81744"
"France","1990","Not applicable","Not applicable","Percent","4.49228"
"France","1989","Not applicable","Not applicable","Percent","4.43515"
"France","1988","Not applicable","Not applicable","Percent","4.52404"
"France","1987","Not applicable","Not applicable","Percent","4.60277"
"France","1986","Not applicable","Not applicable","Percent","4.6892"
"France","1985","Not applicable","Not applicable","Percent","4.83358"
"France","1984","Not applicable","Not applicable","Percent","4.84958"
"France","1983","Not applicable","Not applicable","Percent","4.83522"
"France","1982","Not applicable","Not applicable","Percent","4.83583"
"France","1981","Not applicable","Not applicable","Percent","4.71512"
"France","1980","Not applicable","Not applicable","Percent","4.29399"
"France","1979","Not applicable","Not applicable","Percent","4.26809"
"France","1978","Not applicable","Not applicable","Percent","4.3325"
"France","1977","Not applicable","Not applicable","Percent","4.42244"
"France","1976","Not applicable","Not applicable","Percent","4.41178"
"France","1975","Not applicable","Not applicable","Percent","4.41425"
"Gabon","2000","Not applicable","Not applicable","Percent","3.82709"
"Gabon","1999","Not applicable","Not applicable","Percent","3.08123"
"Gabon","1998","Not applicable","Not applicable","Percent","3.41966"
"Gabon","1992","Not applicable","Not applicable","Percent","2.80552"
"Gambia","2013","Not applicable","Not applicable","Percent","2.80663"
"Gambia","2012","Not applicable","Not applicable","Percent","4.09038"
"Gambia","2011","Not applicable","Not applicable","Percent","3.89922"
"Gambia","2010","Not applicable","Not applicable","Percent","4.15601"
"Gambia","2009","Not applicable","Not applicable","Percent","3.07235"
"Gambia","2008","Not applicable","Not applicable","Percent","3.52742"
"Gambia","2007","Not applicable","Not applicable","Percent","1.30851"
"Gambia","2006","Not applicable","Not applicable","Percent","1.20949"
"Gambia","2005","Not applicable","Not applicable","Percent","1.13918"
"Gambia","2004","Not applicable","Not applicable","Percent","1.0345"
"Gambia","2003","Not applicable","Not applicable","Percent","1.36338"
"Gambia","2002","Not applicable","Not applicable","Percent","1.44292"
"Gambia","2001","Not applicable","Not applicable","Percent","1.1581"
"Gambia","2000","Not applicable","Not applicable","Percent","1.46587"
"Gambia","1999","Not applicable","Not applicable","Percent","1.56513"
"Gambia","1996","Not applicable","Not applicable","Percent","2.56628"
"Gambia","1995","Not applicable","Not applicable","Percent","2.55356"
"Gambia","1992","Not applicable","Not applicable","Percent","1.16984"
"Gambia","1991","Not applicable","Not applicable","Percent","3.78061"
"Gambia","1990","Not applicable","Not applicable","Percent","2.82584"
"Gambia","1989","Not applicable","Not applicable","Percent","2.97409"
"Gambia","1986","Not applicable","Not applicable","Percent","3.48473"
"Gambia","1985","Not applicable","Not applicable","Percent","4.29515"
"Georgia","2012","Not applicable","Not applicable","Percent","1.98331"
"Georgia","2011","Not applicable","Not applicable","Percent","2.69622"
"Georgia","2009","Not applicable","Not applicable","Percent","3.22238"
"Georgia","2008","Not applicable","Not applicable","Percent","2.91956"
"Georgia","2007","Not applicable","Not applicable","Percent","2.69687"
"Georgia","2006","Not applicable","Not applicable","Percent","3.00364"
"Georgia","2005","Not applicable","Not applicable","Percent","2.48431"
"Georgia","2004","Not applicable","Not applicable","Percent","2.9142"
"Georgia","2003","Not applicable","Not applicable","Percent","2.0656"
"Georgia","2002","Not applicable","Not applicable","Percent","2.23501"
"Georgia","2001","Not applicable","Not applicable","Percent","2.1375"
"Georgia","2000","Not applicable","Not applicable","Percent","2.18107"
"Georgia","1999","Not applicable","Not applicable","Percent","2.15513"
"Georgia","1998","Not applicable","Not applicable","Percent","2.10888"
"Georgia","1994","Not applicable","Not applicable","Percent","6.91566"
"Germany","2012","Not applicable","Not applicable","Percent","4.94831"
"Germany","2011","Not applicable","Not applicable","Percent","4.81496"
"Germany","2010","Not applicable","Not applicable","Percent","4.921"
"Germany","2009","Not applicable","Not applicable","Percent","4.88767"
"Germany","2008","Not applicable","Not applicable","Percent","4.41596"
"Germany","2007","Not applicable","Not applicable","Percent","4.34842"
"Germany","2006","Not applicable","Not applicable","Percent","4.28476"
"Germany","1998","Not applicable","Not applicable","Percent","4.46003"
"Germany","1996","Not applicable","Not applicable","Percent","4.48694"
"Germany","1995","Not applicable","Not applicable","Percent","4.4227"
"Germany","1994","Not applicable","Not applicable","Percent","4.33488"
"Germany","1993","Not applicable","Not applicable","Percent","4.41382"
"Ghana","2013","Not applicable","Not applicable","Percent","5.93355"
"Ghana","2012","Not applicable","Not applicable","Percent","7.91914"
"Ghana","2011","Not applicable","Not applicable","Percent","8.14097"
"Ghana","2010","Not applicable","Not applicable","Percent","5.5406"
"Ghana","2009","Not applicable","Not applicable","Percent","5.31744"
"Ghana","2008","Not applicable","Not applicable","Percent","5.75796"
"Ghana","2007","Not applicable","Not applicable","Percent","5.51987"
"Ghana","2006","Not applicable","Not applicable","Percent","5.25994"
"Ghana","2005","Not applicable","Not applicable","Percent","7.42208"
"Ghana","2004","Not applicable","Not applicable","Percent","7.53558"
"Ghana","2001","Not applicable","Not applicable","Percent","5.35444"
"Ghana","1999","Not applicable","Not applicable","Percent","4.11037"
"Ghana","1988","Not applicable","Not applicable","Percent","3.18742"
"Ghana","1987","Not applicable","Not applicable","Percent","3.3067"
"Ghana","1986","Not applicable","Not applicable","Percent","3.35448"
"Ghana","1982","Not applicable","Not applicable","Percent","1.90454"
"Ghana","1981","Not applicable","Not applicable","Percent","1.80812"
"Ghana","1980","Not applicable","Not applicable","Percent","2.70777"
"Ghana","1979","Not applicable","Not applicable","Percent","2.31135"
"Ghana","1977","Not applicable","Not applicable","Percent","6.09528"
"Ghana","1976","Not applicable","Not applicable","Percent","5.82883"
"Ghana","1975","Not applicable","Not applicable","Percent","4.87654"
"Greece","2005","Not applicable","Not applicable","Percent","3.96574"
"Greece","2004","Not applicable","Not applicable","Percent","3.68054"
"Greece","2003","Not applicable","Not applicable","Percent","3.43576"
"Greece","2002","Not applicable","Not applicable","Percent","3.44935"
"Greece","2001","Not applicable","Not applicable","Percent","3.36916"
"Greece","2000","Not applicable","Not applicable","Percent","3.21915"
"Greece","1999","Not applicable","Not applicable","Percent","3.01806"
"Greece","1998","Not applicable","Not applicable","Percent","2.88278"
"Greece","1991","Not applicable","Not applicable","Percent","1.92723"
"Greece","1990","Not applicable","Not applicable","Percent","2.03857"
"Greece","1989","Not applicable","Not applicable","Percent","2.00806"
"Greece","1988","Not applicable","Not applicable","Percent","1.86208"
"Greece","1987","Not applicable","Not applicable","Percent","1.82747"
"Greece","1986","Not applicable","Not applicable","Percent","1.82663"
"Greece","1984","Not applicable","Not applicable","Percent","1.80338"
"Greece","1983","Not applicable","Not applicable","Percent","1.68248"
"Greece","1982","Not applicable","Not applicable","Percent","1.68064"
"Greece","1981","Not applicable","Not applicable","Percent","1.68658"
"Greece","1978","Not applicable","Not applicable","Percent","1.67952"
"Greece","1977","Not applicable","Not applicable","Percent","1.48823"
"Greece","1976","Not applicable","Not applicable","Percent","1.44292"
"Greece","1975","Not applicable","Not applicable","Percent","1.45548"
"Grenada","2003","Not applicable","Not applicable","Percent","3.92674"
"Guatemala","2013","Not applicable","Not applicable","Percent","2.84226"
"Guatemala","2012","Not applicable","Not applicable","Percent","2.95786"
"Guatemala","2011","Not applicable","Not applicable","Percent","2.92014"
"Guatemala","2010","Not applicable","Not applicable","Percent","2.80307"
"Guatemala","2008","Not applicable","Not applicable","Percent","3.18454"
"Guatemala","2007","Not applicable","Not applicable","Percent","3.03874"
"Guatemala","2006","Not applicable","Not applicable","Percent","2.98401"
"Guatemala","1996","Not applicable","Not applicable","Percent","1.5637"
"Guatemala","1995","Not applicable","Not applicable","Percent","1.6048"
"Guatemala","1994","Not applicable","Not applicable","Percent","1.43998"
"Guatemala","1993","Not applicable","Not applicable","Percent","1.66575"
"Guatemala","1976","Not applicable","Not applicable","Percent","1.62729"
"Guinea","2013","Not applicable","Not applicable","Percent","3.54088"
"Guinea","2012","Not applicable","Not applicable","Percent","2.47139"
"Guinea","2011","Not applicable","Not applicable","Percent","3.06283"
"Guinea","2010","Not applicable","Not applicable","Percent","3.69186"
"Guinea","2009","Not applicable","Not applicable","Percent","3.21608"
"Guinea","2008","Not applicable","Not applicable","Percent","2.43837"
"Guinea","2005","Not applicable","Not applicable","Percent","1.84906"
"Guinea","2004","Not applicable","Not applicable","Percent","2.21"
"Guinea","2003","Not applicable","Not applicable","Percent","2.37102"
"Guinea","2002","Not applicable","Not applicable","Percent","2.59387"
"Guinea","2001","Not applicable","Not applicable","Percent","2.08191"
"Guinea","2000","Not applicable","Not applicable","Percent","2.5934"
"Guinea","1999","Not applicable","Not applicable","Percent","2.36142"
"Guinea","1993","Not applicable","Not applicable","Percent","2.08844"
"Guinea","1992","Not applicable","Not applicable","Percent","2.00632"
"Guinea","1991","Not applicable","Not applicable","Percent","2.01639"
"Guinea-Bissau","2013","Not applicable","Not applicable","Percent","2.35587"
"Guinea-Bissau","2012","Not applicable","Not applicable","Percent","2.06464"
"Guinea-Bissau","2011","Not applicable","Not applicable","Percent","1.84898"
"Guinea-Bissau","2010","Not applicable","Not applicable","Percent","1.86424"
"Guinea-Bissau","1999","Not applicable","Not applicable","Percent","5.24617"
"Guyana","2012","Not applicable","Not applicable","Percent","3.19404"
"Guyana","2011","Not applicable","Not applicable","Percent","3.59123"
"Guyana","2010","Not applicable","Not applicable","Percent","3.66099"
"Guyana","2009","Not applicable","Not applicable","Percent","3.36104"
"Guyana","2007","Not applicable","Not applicable","Percent","3.75228"
"Guyana","2006","Not applicable","Not applicable","Percent","5.08927"
"Guyana","2005","Not applicable","Not applicable","Percent","8.13973"
"Guyana","2004","Not applicable","Not applicable","Percent","5.52623"
"Guyana","2003","Not applicable","Not applicable","Percent","6.96654"
"Guyana","2002","Not applicable","Not applicable","Percent","8.40805"
"Guyana","2001","Not applicable","Not applicable","Percent","8.58889"
"Guyana","2000","Not applicable","Not applicable","Percent","8.48415"
"Guyana","1999","Not applicable","Not applicable","Percent","8.56106"
"Guyana","1995","Not applicable","Not applicable","Percent","3.60934"
"Guyana","1994","Not applicable","Not applicable","Percent","3.72445"
"Guyana","1984","Not applicable","Not applicable","Percent","7.22748"
"Guyana","1983","Not applicable","Not applicable","Percent","8.25347"
"Guyana","1979","Not applicable","Not applicable","Percent","9.37787"
"Guyana","1977","Not applicable","Not applicable","Percent","7.08873"
"Haiti","1991","Not applicable","Not applicable","Percent","1.07399"
"Holy See","2014","Not applicable","Not applicable","Percent","0"
"Holy See","2013","Not applicable","Not applicable","Percent","0"
"Holy See","2012","Not applicable","Not applicable","Percent","0"
"Holy See","2011","Not applicable","Not applicable","Percent","0"
"Holy See","2010","Not applicable","Not applicable","Percent","0"
"Holy See","2009","Not applicable","Not applicable","Percent","0"
"Holy See","2008","Not applicable","Not applicable","Percent","0"
"Holy See","2007","Not applicable","Not applicable","Percent","0"
"Holy See","2006","Not applicable","Not applicable","Percent","0"
"Holy See","2005","Not applicable","Not applicable","Percent","0"
"Holy See","2004","Not applicable","Not applicable","Percent","0"
"Holy See","2003","Not applicable","Not applicable","Percent","0"
"Holy See","2002","Not applicable","Not applicable","Percent","0"
"Holy See","2001","Not applicable","Not applicable","Percent","0"
"Holy See","2000","Not applicable","Not applicable","Percent","0"
"Holy See","1999","Not applicable","Not applicable","Percent","0"
"Holy See","1998","Not applicable","Not applicable","Percent","0"
"Holy See","1997","Not applicable","Not applicable","Percent","0"
"Holy See","1996","Not applicable","Not applicable","Percent","0"
"Holy See","1995","Not applicable","Not applicable","Percent","0"
"Holy See","1994","Not applicable","Not applicable","Percent","0"
"Holy See","1993","Not applicable","Not applicable","Percent","0"
"Holy See","1992","Not applicable","Not applicable","Percent","0"
"Holy See","1991","Not applicable","Not applicable","Percent","0"
"Holy See","1990","Not applicable","Not applicable","Percent","0"
"Holy See","1989","Not applicable","Not applicable","Percent","0"
"Holy See","1988","Not applicable","Not applicable","Percent","0"
"Holy See","1987","Not applicable","Not applicable","Percent","0"
"Holy See","1986","Not applicable","Not applicable","Percent","0"
"Holy See","1985","Not applicable","Not applicable","Percent","0"
"Holy See","1984","Not applicable","Not applicable","Percent","0"
"Holy See","1983","Not applicable","Not applicable","Percent","0"
"Holy See","1982","Not applicable","Not applicable","Percent","0"
"Holy See","1981","Not applicable","Not applicable","Percent","0"
"Holy See","1980","Not applicable","Not applicable","Percent","0"
"Holy See","1979","Not applicable","Not applicable","Percent","0"
"Holy See","1978","Not applicable","Not applicable","Percent","0"
"Holy See","1977","Not applicable","Not applicable","Percent","0"
"Holy See","1976","Not applicable","Not applicable","Percent","0"
"Holy See","1975","Not applicable","Not applicable","Percent","0"
"Honduras","2013","Not applicable","Not applicable","Percent","5.87493"
"Honduras","1995","Not applicable","Not applicable","Percent","3.57875"
"Honduras","1994","Not applicable","Not applicable","Percent","3.39836"
"Honduras","1980","Not applicable","Not applicable","Percent","2.99447"
"Honduras","1979","Not applicable","Not applicable","Percent","3.16882"
"Honduras","1978","Not applicable","Not applicable","Percent","3.241"
"Hong Kong Special Administrative Region of China","2014","Not applicable","Not applicable","Percent","3.57196"
"Hong Kong Special Administrative Region of China","2013","Not applicable","Not applicable","Percent","3.76032"
"Hong Kong Special Administrative Region of China","2012","Not applicable","Not applicable","Percent","3.50961"
"Hong Kong Special Administrative Region of China","2011","Not applicable","Not applicable","Percent","3.41822"
"Hong Kong Special Administrative Region of China","2010","Not applicable","Not applicable","Percent","3.51003"
"Hong Kong Special Administrative Region of China","2009","Not applicable","Not applicable","Percent","4.39213"
"Hong Kong Special Administrative Region of China","2008","Not applicable","Not applicable","Percent","3.26063"
"Hong Kong Special Administrative Region of China","2007","Not applicable","Not applicable","Percent","3.45455"
"Hong Kong Special Administrative Region of China","2006","Not applicable","Not applicable","Percent","3.84279"
"Hong Kong Special Administrative Region of China","2005","Not applicable","Not applicable","Percent","4.13463"
"Hong Kong Special Administrative Region of China","2004","Not applicable","Not applicable","Percent","4.55896"
"Hong Kong Special Administrative Region of China","2003","Not applicable","Not applicable","Percent","4.2853"
"Hong Kong Special Administrative Region of China","2002","Not applicable","Not applicable","Percent","4.01554"
"Hong Kong Special Administrative Region of China","2001","Not applicable","Not applicable","Percent","3.9037"
"Hong Kong Special Administrative Region of China","1996","Not applicable","Not applicable","Percent","2.72831"
"Hong Kong Special Administrative Region of China","1992","Not applicable","Not applicable","Percent","2.8282"
"Hong Kong Special Administrative Region of China","1990","Not applicable","Not applicable","Percent","2.46609"
"Hong Kong Special Administrative Region of China","1985","Not applicable","Not applicable","Percent","2.55897"
"Hong Kong Special Administrative Region of China","1984","Not applicable","Not applicable","Percent","2.58169"
"Hong Kong Special Administrative Region of China","1983","Not applicable","Not applicable","Percent","2.5786"
"Hong Kong Special Administrative Region of China","1982","Not applicable","Not applicable","Percent","1.66983"
"Hong Kong Special Administrative Region of China","1981","Not applicable","Not applicable","Percent","2.27173"
"Hong Kong Special Administrative Region of China","1980","Not applicable","Not applicable","Percent","2.19214"
"Hong Kong Special Administrative Region of China","1978","Not applicable","Not applicable","Percent","2.32255"
"Hong Kong Special Administrative Region of China","1977","Not applicable","Not applicable","Percent","2.21924"
"Hong Kong Special Administrative Region of China","1976","Not applicable","Not applicable","Percent","2.43336"
"Hong Kong Special Administrative Region of China","1975","Not applicable","Not applicable","Percent","2.4492"
"Hungary","2011","Not applicable","Not applicable","Percent","4.64508"
"Hungary","2010","Not applicable","Not applicable","Percent","4.81825"
"Hungary","2009","Not applicable","Not applicable","Percent","5.01172"
"Hungary","2008","Not applicable","Not applicable","Percent","5.02306"
"Hungary","2007","Not applicable","Not applicable","Percent","5.19448"
